 Sample Superpopulation code
477 AG477 AMR
478 AG478 SAS
479 AG479 EUR
480 AG480 EUR
481 AG481 EUR
482 AG482 AFR
483 AG483 EUR
484 AG484 EUR
485 AG485 AFR
486 AG486 AFR
487 AG487 EAS
488 AG488 EUR
489 AG489 AFR
490 AG490 AMR
491 AG491 EUR
492 AG492 AFR
493 AG493 AFR
494 AG494 EUR
495 AG495 EUR
496 AG496 EUR
497 AG497 AFR
498 AG498 AFR
499 AG499 EUR
500 AG500 SAS
501 AG501 SAS
502 AG502 EUR
503 AG503 AMR
504 AG504 EUR
505 AG505 SAS
506 AG506 AMR
507 AG507 EAS
508 AG508 EUR
509 AG509 EUR
510 AG510 AMR
511 AG511 SAS
512 AG512 EUR
513 AG513 AFR
514 AG514 EAS
515 AG515 AFR
516 AG516 EAS
517 AG517 AFR
518 AG518 AFR
519 AG519 SAS
520 AG520 AFR
521 AG521 EUR
522 AG522 AFR
523 AG523 SAS
524 AG524 EUR
525 AG525 AFR
526 AG526 AFR
527 AG527 EUR
528 AG528 AFR
529 AG529 AFR
530 AG530 EAS
531 AG531 AFR
532 AG532 EUR
533 AG533 EUR
534 AG534 SAS
535 AG535 EAS
536 AG536 AFR
537 AG537 AFR
538 AG538 EAS
539 AG539 EAS
540 AG540 SAS
541 AG541 AFR
542 AG542 AFR
543 AG543 EUR
544 AG544 SAS
545 AG545 SAS
546 AG546 EAS
547 AG547 AFR
548 AG548 EAS
549 AG549 EUR
550 AG550 EAS
551 AG551 EAS
552 AG552 AFR
553 AG553 AFR
554 AG554 AFR
555 AG555 AFR
556 AG556 AFR
557 AG557 EAS
558 AG558 EUR
559 AG559 EUR
560 AG560 EUR
561 AG561 SAS
562 AG562 AFR
563 AG563 AMR
564 AG564 EUR
565 AG565 EAS
566 AG566 SAS
567 AG567 SAS
568 AG568 SAS
569 AG569 EUR
570 AG570 SAS
571 AG571 SAS
572 AG572 AFR
573 AG573 AFR
574 AG574 EUR
575 AG575 EUR
576 AG576 AFR
577 AG577 SAS
578 AG578 SAS
579 AG579 AFR
580 AG580 AFR
581 AG581 AFR
582 AG582 EUR
583 AG583 SAS
584 AG584 EAS
585 AG585 EUR
586 AG586 AFR
587 AG587 EUR
588 AG588 EUR
589 AG589 EUR
590 AG590 EUR
591 AG591 EUR
592 AG592 EUR
593 AG593 SAS
594 AG594 AFR
595 AG595 EAS
596 AG596 EUR
597 AG597 EAS
598 AG598 AFR
599 AG599 EUR
600 AG600 EUR
601 AG601 EUR
602 AG602 EUR
603 AG603 SAS
604 AG604 AFR
605 AG605 AFR
606 AG606 AFR
607 AG607 EAS
608 AG608 AMR
609 AG609 AFR
610 AG610 EUR
611 AG611 EUR
612 AG612 EAS
613 AG613 AFR
614 AG614 EAS
615 AG615 EUR
616 AG616 AMR
617 AG617 AFR
618 AG618 EAS
619 AG619 EAS
620 AG620 SAS
621 AG621 SAS
622 AG622 EAS
623 AG623 EUR
624 AG624 EUR
625 AG625 EAS
626 AG626 EAS
627 AG627 EAS
628 AG628 EAS
629 AG629 EUR
630 AG630 EUR
631 AG631 EAS
632 AG632 AFR
633 AG633 SAS
634 AG634 EUR
635 AG635 EUR
636 AG636 EAS
637 AG637 AFR
638 AG638 EAS
639 AG639 AFR
640 AG640 AMR
641 AG641 EAS
642 AG642 AFR
643 AG643 EUR
644 AG644 AFR
645 AG645 EUR
646 AG646 SAS
647 AG647 EAS
648 AG648 EUR
649 AG649 EAS
650 AG650 AFR
651 AG651 AFR
652 AG652 EAS
653 AG653 SAS
654 AG654 EUR
655 AG655 EAS
656 AG656 AMR
657 AG657 EAS
658 AG658 AFR
659 AG659 EUR
660 AG660 EAS
661 AG661 AFR
662 AG662 SAS
663 AG663 AFR
664 AG664 EAS
665 AG665 EUR
666 AG666 EAS
667 AG667 AFR
668 AG668 EAS
669 AG669 AFR
670 AG670 EUR
671 AG671 EUR
672 AG672 AFR
673 AG673 AFR
674 AG674 EUR
675 AG675 SAS
676 AG676 AMR
677 AG677 AFR
678 AG678 SAS
679 AG679 EAS
680 AG680 EAS
681 AG681 EUR
682 AG682 AFR
683 AG683 EUR
684 AG684 SAS
685 AG685 EUR
686 AG686 AFR
687 AG687 EAS
688 AG688 EUR
689 AG689 EAS
690 AG690 SAS
691 AG691 EUR
692 AG692 EUR
693 AG693 EUR
694 AG694 SAS
695 AG695 EAS
696 AG696 AFR
697 AG697 EAS
698 AG698 EUR
699 AG699 EUR
700 AG700 EUR
701 AG701 SAS
702 AG702 EAS
703 AG703 EUR
704 AG704 EUR
705 AG705 EUR
706 AG706 AFR
707 AG707 AFR
708 AG708 EAS
709 AG709 EUR
710 AG710 AFR
711 AG711 EAS
712 AG712 AFR
713 AG713 SAS
714 AG714 SAS
715 AG715 EUR
716 AG716 EUR
717 AG717 EAS
718 AG718 EAS
719 AG719 AFR
720 AG720 EUR
721 AG721 AFR
722 AG722 EAS
723 AG723 EUR
724 AG724 EAS
725 AG725 EAS
726 AG726 EAS
727 AG727 SAS
728 AG728 AFR
729 AG729 EAS
730 AG730 SAS
731 AG731 EAS
732 AG732 EAS
733 AG733 EAS
734 AG734 AFR
735 AG735 EAS
736 AG736 AMR
737 AG737 EUR
738 AG738 AFR
739 AG739 EAS
740 AG740 EUR
741 AG741 SAS
742 AG742 EUR
743 AG743 EUR
744 AG744 EAS
745 AG745 AFR
746 AG746 EUR
747 AG747 EUR
748 AG748 SAS
749 AG749 EUR
750 AG750 AFR
751 AG751 SAS
752 AG752 EUR
753 AG753 AFR
754 AG754 EUR
755 AG755 SAS
756 AG756 AMR
757 AG757 AFR
758 AG758 SAS
759 AG759 AFR
760 AG760 EUR
761 AG761 EUR
762 AG762 EUR
763 AG763 EUR
764 AG764 SAS
765 AG765 SAS
766 AG766 AFR
767 AG767 EAS
768 AG768 AMR
769 AG769 AFR
770 AG770 AFR
771 AG771 EAS
772 AG772 AFR
773 AG773 EAS
774 AG774 EUR
775 AG775 EAS
776 AG776 EUR
777 AG777 EAS
778 AG778 EAS
779 AG779 EAS
780 AG780 EAS
781 AG781 EAS
782 AG782 AFR
783 AG783 AFR
784 AG784 EUR
785 AG785 AMR
786 AG786 EUR
787 AG787 EUR
788 AG788 AFR
789 AG789 SAS
790 AG790 AFR
791 AG791 EUR
792 AG792 EAS
793 AG793 SAS
794 AG794 AMR
795 AG795 AFR
796 AG796 EAS
797 AG797 EUR
798 AG798 AFR
799 AG799 AFR
800 AG800 AFR
801 AG801 AMR
802 AG802 SAS
803 AG803 EUR
804 AG804 EUR
805 AG805 EUR
806 AG806 EUR
807 AG807 AFR
808 AG808 EUR
809 AG809 EUR
810 AG810 EUR
811 AG811 EAS
812 AG812 AFR
813 AG813 EUR
814 AG814 EAS
815 AG815 EAS
816 AG816 AFR
817 AG817 SAS
818 AG818 EUR
819 AG819 EAS
820 AG820 EAS
821 AG821 EUR
822 AG822 EAS
823 AG823 EAS
824 AG824 EUR
825 AG825 SAS
826 AG826 SAS
827 AG827 AFR
828 AG828 EUR
829 AG829 AFR
830 AG830 EUR
831 AG831 AMR
832 AG832 AFR
833 AG833 EAS
834 AG834 EUR
835 AG835 EAS
836 AG836 EAS
837 AG837 EAS
838 AG838 EAS
839 AG839 SAS
840 AG840 SAS
841 AG841 EAS
842 AG842 EAS
843 AG843 AFR
844 AG844 SAS
845 AG845 SAS
846 AG846 AFR
847 AG847 EUR
848 AG848 EUR
849 AG849 EAS
850 AG850 EAS
851 AG851 EAS
852 AG852 EAS
853 AG853 AFR
854 AG854 EUR
855 AG855 EUR
856 AG856 AFR
857 AG857 AFR
858 AG858 SAS
859 AG859 AMR
860 AG860 EUR
861 AG861 AFR
862 AG862 EAS
863 AG863 EAS
864 AG864 SAS
865 AG865 EAS
866 AG866 SAS
867 AG867 EUR
868 AG868 AMR
869 AG869 EUR
870 AG870 AFR
871 AG871 AFR
872 AG872 EUR
873 AG873 AFR
874 AG874 EAS
875 AG875 AMR
876 AG876 EUR
877 AG877 AFR
878 AG878 EAS
879 AG879 EUR
880 AG880 EUR
881 AG881 EAS
882 AG882 EUR
883 AG883 EAS
884 AG884 EAS
885 AG885 SAS
886 AG886 EUR
887 AG887 AFR
888 AG888 EAS
889 AG889 EUR
890 AG890 EUR
891 AG891 EAS
892 AG892 EAS
893 AG893 EAS
894 AG894 SAS
895 AG895 EAS
896 AG896 EUR
897 AG897 AFR
898 AG898 AFR
899 AG899 EUR
900 AG900 AFR
901 AG901 EAS
902 AG902 AMR
903 AG903 SAS
904 AG904 EUR
905 AG905 AFR
906 AG906 EAS
907 AG907 AFR
908 AG908 EUR
909 AG909 AFR
910 AG910 AFR
911 AG911 AMR
912 AG912 EAS
913 AG913 EUR
914 AG914 SAS
915 AG915 EAS
916 AG916 AFR
917 AG917 EUR
918 AG918 EAS
919 AG919 AFR
920 AG920 EAS
921 AG921 EAS
922 AG922 SAS
923 AG923 EAS
924 AG924 AMR
925 AG925 SAS
926 AG926 AFR
927 AG927 SAS
928 AG928 EAS
929 AG929 AFR
930 AG930 SAS
931 AG931 EAS
932 AG932 SAS
933 AG933 EUR
934 AG934 SAS
935 AG935 AFR
936 AG936 EUR
937 AG937 AMR
938 AG938 AFR
939 AG939 AMR
940 AG940 AMR
941 AG941 AFR
942 AG942 AFR
943 AG943 EAS
944 AG944 EUR
945 AG945 AFR
946 AG946 EUR
947 AG947 EUR
948 AG948 AFR
949 AG949 SAS
950 AG950 EUR
951 AG951 EAS
952 AG952 EAS
953 AG953 AFR
954 AG954 AFR
955 AG955 SAS
956 AG956 EAS
957 AG957 SAS
958 AG958 AFR
959 AG959 EAS
960 AG960 EAS
961 AG961 SAS
962 AG962 EUR
963 AG963 EAS
964 AG964 AMR
965 AG965 EUR
966 AG966 EAS
967 AG967 EUR
968 AG968 AFR
969 AG969 EUR
970 AG970 EUR
971 AG971 EAS
972 AG972 EUR
973 AG973 EUR
974 AG974 EUR
975 AG975 AFR
976 AG976 EAS
977 AG977 SAS
978 AG978 EUR
979 AG979 EUR
980 AG980 EAS
981 AG981 AFR
982 AG982 AFR
983 AG983 EUR
984 AG984 EAS
985 AG985 EAS
986 AG986 EAS
987 AG987 AMR
988 AG988 EAS
989 AG989 EAS
990 AG990 EUR
991 AG991 AFR
992 AG992 EUR
993 AG993 EAS
994 AG994 SAS
995 AG995 EAS
996 AG996 SAS
997 AG997 EAS
998 AG998 EAS
999 AG999 AFR
1000 AG1000 EAS
1001 AG1001 EAS
1002 AG1002 EAS
1003 AG1003 EUR
1004 AG1004 SAS
1005 AG1005 EAS
1006 AG1006 EUR
1007 AG1007 EUR
1008 AG1008 EUR
1009 AG1009 EUR
1010 AG1010 EUR
1011 AG1011 EAS
1012 AG1012 EUR
1013 AG1013 AFR
1014 AG1014 EUR
1015 AG1015 AFR
1016 AG1016 AFR
1017 AG1017 AMR
1018 AG1018 EUR
1019 AG1019 SAS
1020 AG1020 EUR
1021 AG1021 EUR
1022 AG1022 EUR
1023 AG1023 EAS
1024 AG1024 AFR
1025 AG1025 SAS
1026 AG1026 SAS
1027 AG1027 EUR
1028 AG1028 AFR
1029 AG1029 EAS
1030 AG1030 EUR
1031 AG1031 AFR
1032 AG1032 AFR
1033 AG1033 EUR
1034 AG1034 EUR
1035 AG1035 EUR
1036 AG1036 SAS
1037 AG1037 SAS
1038 AG1038 EAS
1039 AG1039 AFR
1040 AG1040 EAS
1041 AG1041 SAS
1042 AG1042 EAS
1043 AG1043 AMR
1044 AG1044 EAS
1045 AG1045 EUR
1046 AG1046 EAS
1047 AG1047 AMR
1048 AG1048 EUR
1049 AG1049 EUR
1050 AG1050 AFR
1051 AG1051 EUR
1052 AG1052 AFR
1053 AG1053 AFR
1054 AG1054 EUR
1055 AG1055 EUR
1056 AG1056 EUR
1057 AG1057 SAS
1058 AG1058 EAS
1059 AG1059 AMR
1060 AG1060 EAS
1061 AG1061 SAS
1062 AG1062 AMR
1063 AG1063 AFR
1064 AG1064 SAS
1065 AG1065 EAS
1066 AG1066 SAS
1067 AG1067 AMR
1068 AG1068 AMR
1069 AG1069 SAS
1070 AG1070 EUR
1071 AG1071 EUR
1072 AG1072 AFR
1073 AG1073 EUR
1074 AG1074 AFR
1075 AG1075 EUR
1076 AG1076 SAS
1077 AG1077 EUR
1078 AG1078 AMR
1079 AG1079 EUR
1080 AG1080 EUR
1081 AG1081 AFR
1082 AG1082 SAS
1083 AG1083 AFR
1084 AG1084 EUR
1085 AG1085 EUR
1086 AG1086 EAS
1087 AG1087 AMR
1088 AG1088 EAS
1089 AG1089 EAS
1090 AG1090 EUR
1091 AG1091 AFR
1092 AG1092 EAS
1093 AG1093 EAS
1094 AG1094 EAS
1095 AG1095 EUR
1096 AG1096 AFR
1097 AG1097 AFR
1098 AG1098 EUR
1099 AG1099 EAS
1100 AG1100 AFR
1101 AG1101 EUR
1102 AG1102 EUR
1103 AG1103 AFR
1104 AG1104 SAS
1105 AG1105 EUR
1106 AG1106 SAS
1107 AG1107 EUR
1108 AG1108 EUR
1109 AG1109 EUR
1110 AG1110 SAS
1111 AG1111 SAS
1112 AG1112 EAS
1113 AG1113 EAS
1114 AG1114 AFR
1115 AG1115 EUR
1116 AG1116 EUR
1117 AG1117 AFR
1118 AG1118 AFR
1119 AG1119 AFR
1120 AG1120 EUR
1121 AG1121 SAS
1122 AG1122 AFR
1123 AG1123 EUR
1124 AG1124 EUR
1125 AG1125 EUR
1126 AG1126 EUR
1127 AG1127 EAS
1128 AG1128 AFR
1129 AG1129 EAS
1130 AG1130 AFR
1131 AG1131 EAS
1132 AG1132 SAS
1133 AG1133 SAS
1134 AG1134 EAS
1135 AG1135 EUR
1136 AG1136 EUR
1137 AG1137 AFR
1138 AG1138 SAS
1139 AG1139 AFR
1140 AG1140 SAS
1141 AG1141 SAS
1142 AG1142 EAS
1143 AG1143 SAS
1144 AG1144 EUR
1145 AG1145 EUR
1146 AG1146 AFR
1147 AG1147 AFR
1148 AG1148 AFR
1149 AG1149 AFR
1150 AG1150 AFR
1151 AG1151 AFR
1152 AG1152 EAS
1153 AG1153 EAS
1154 AG1154 SAS
1155 AG1155 EUR
1156 AG1156 EUR
1157 AG1157 EUR
1158 AG1158 EAS
1159 AG1159 AFR
1160 AG1160 EUR
1161 AG1161 EUR
1162 AG1162 EAS
1163 AG1163 EUR
1164 AG1164 SAS
1165 AG1165 EUR
1166 AG1166 EAS
1167 AG1167 AFR
1168 AG1168 EAS
1169 AG1169 AFR
1170 AG1170 EUR
1171 AG1171 AFR
1172 AG1172 AMR
1173 AG1173 AFR
1174 AG1174 AFR
1175 AG1175 EUR
1176 AG1176 SAS
1177 AG1177 EAS
1178 AG1178 AFR
1179 AG1179 AFR
1180 AG1180 EUR
1181 AG1181 SAS
1182 AG1182 SAS
1183 AG1183 EAS
1184 AG1184 EUR
1185 AG1185 AMR
1186 AG1186 EAS
1187 AG1187 AFR
1188 AG1188 EUR
1189 AG1189 EAS
1190 AG1190 EAS
1191 AG1191 EAS
1192 AG1192 EUR
1193 AG1193 EUR
1194 AG1194 EAS
1195 AG1195 AFR
1196 AG1196 AFR
1197 AG1197 AMR
1198 AG1198 EAS
1199 AG1199 EUR
1200 AG1200 EUR
1201 AG1201 EUR
1202 AG1202 EUR
1203 AG1203 EUR
1204 AG1204 EUR
1205 AG1205 EAS
1206 AG1206 EAS
1207 AG1207 EAS
1208 AG1208 SAS
1209 AG1209 AFR
1210 AG1210 AMR
1211 AG1211 EAS
1212 AG1212 AFR
1213 AG1213 AFR
1214 AG1214 AFR
1215 AG1215 EAS
1216 AG1216 SAS
1217 AG1217 SAS
1218 AG1218 EAS
1219 AG1219 EUR
1220 AG1220 EUR
1221 AG1221 EUR
1222 AG1222 EUR
1223 AG1223 AFR
1224 AG1224 EUR
1225 AG1225 SAS
1226 AG1226 EUR
1227 AG1227 EUR
1228 AG1228 AMR
1229 AG1229 AFR
1230 AG1230 AMR
1231 AG1231 EAS
1232 AG1232 EAS
1233 AG1233 EUR
1234 AG1234 AMR
1235 AG1235 EUR
1236 AG1236 AFR
1237 AG1237 EUR
1238 AG1238 EUR
1239 AG1239 EUR
1240 AG1240 AFR
1241 AG1241 AFR
1242 AG1242 EAS
1243 AG1243 SAS
1244 AG1244 AFR
1245 AG1245 AFR
1246 AG1246 EUR
1247 AG1247 AFR
1248 AG1248 EUR
1249 AG1249 EAS
1250 AG1250 EUR
1251 AG1251 EAS
1252 AG1252 EUR
1253 AG1253 SAS
1254 AG1254 SAS
1255 AG1255 EUR
1256 AG1256 EUR
1257 AG1257 AMR
1258 AG1258 EAS
1259 AG1259 EAS
1260 AG1260 EUR
1261 AG1261 EUR
1262 AG1262 AFR
1263 AG1263 EUR
1264 AG1264 EUR
1265 AG1265 AFR
1266 AG1266 EUR
1267 AG1267 EUR
1268 AG1268 EUR
1269 AG1269 SAS
1270 AG1270 AFR
1271 AG1271 EUR
1272 AG1272 AFR
1273 AG1273 AFR
1274 AG1274 SAS
1275 AG1275 EAS
1276 AG1276 SAS
1277 AG1277 EAS
1278 AG1278 EUR
1279 AG1279 SAS
1280 AG1280 SAS
1281 AG1281 SAS
1282 AG1282 SAS
1283 AG1283 SAS
1284 AG1284 SAS
1285 AG1285 EUR
1286 AG1286 EUR
1287 AG1287 AFR
1288 AG1288 SAS
1289 AG1289 AFR
1290 AG1290 EUR
1291 AG1291 EAS
1292 AG1292 EAS
1293 AG1293 AFR
1294 AG1294 AFR
1295 AG1295 AFR
1296 AG1296 EAS
1297 AG1297 AFR
1298 AG1298 EUR
1299 AG1299 EUR
1300 AG1300 SAS
1301 AG1301 EAS
1302 AG1302 AFR
1303 AG1303 EAS
1304 AG1304 EAS
1305 AG1305 SAS
1306 AG1306 EUR
1307 AG1307 EAS
1308 AG1308 EUR
1309 AG1309 EUR
1310 AG1310 EUR
1311 AG1311 AMR
1312 AG1312 EUR
1313 AG1313 SAS
1314 AG1314 SAS
1315 AG1315 SAS
1316 AG1316 AFR
1317 AG1317 AMR
1318 AG1318 AFR
1319 AG1319 EUR
1320 AG1320 AFR
1321 AG1321 AFR
1322 AG1322 AFR
1323 AG1323 EUR
1324 AG1324 SAS
1325 AG1325 AFR
1326 AG1326 SAS
1327 AG1327 EAS
1328 AG1328 AFR
1329 AG1329 EUR
1330 AG1330 EUR
